occupation,age,gender,education,years_of_experience,current_salary,salary_10_years,salary_growth,growth_percentage
Data Engineer,58,Female,Bachelor,17,155464,309412,153948,99.02485462872434
Data Engineer,34,Female,High School,6,117875,218684,100809,85.52195121951219
Consultant,53,Other,Bachelor,11,107642,187383,79741,74.07982014455324
Consultant,48,Female,Master,21,161400,323482,162082,100.42255266418836
Project Manager,42,Male,PhD,20,144159,277026,132867,92.1669822903877
Designer,30,Male,Bachelor,5,97411,144192,46781,48.024350432702676
DevOps Engineer,38,Female,PhD,8,164491,405788,241297,146.69313214704755
Data Engineer,33,Female,PhD,5,166540,436895,270355,162.33637564549056
Consultant,24,Male,PhD,1,155682,365524,209842,134.78886448015828
Consultant,64,Female,PhD,8,137650,288889,151239,109.87213948419905
Consultant,54,Female,PhD,20,175364,368040,192676,109.87203759038341
Software Engineer,32,Other,Bachelor,6,128181,276733,148552,115.89237094421169
Project Manager,47,Male,Bachelor,7,99160,161521,62361,62.889269866881804
Data Engineer,62,Female,Master,40,219347,498230,278883,127.14238170569918
Consultant,53,Other,Bachelor,7,99305,172870,73565,74.07985499219576
Business Analyst,51,Female,PhD,8,120741,211607,90866,75.2569549697286
Product Manager,38,Female,PhD,12,195254,452783,257529,131.89435299660954
Data Scientist,47,Other,Bachelor,2,121781,239561,117780,96.7145942306271
Data Scientist,25,Other,Bachelor,0,116977,245616,128639,109.96948118006105
DevOps Engineer,52,Male,Bachelor,29,164052,312313,148261,90.37439348499257
Product Manager,39,Female,Master,14,150029,317952,167923,111.92702744136133
Software Engineer,61,Male,High School,21,134516,251558,117042,87.00972375033453
DevOps Engineer,49,Male,Master,26,185428,415401,229973,124.0228013029316
Software Engineer,38,Female,High School,3,121227,234051,112824,93.06837585686357
Consultant,30,Other,High School,2,80865,132980,52115,64.44691770234341
Business Analyst,38,Other,Master,15,109678,185577,75899,69.20166305001915
Designer,61,Female,Master,36,141525,221049,79524,56.190779014308426
Designer,34,Male,Bachelor,5,98033,145112,47079,48.023624697805836
Project Manager,32,Other,High School,7,78321,118751,40430,51.62089350238123
Project Manager,42,Other,Master,4,105471,188882,83411,79.08429805349337
Project Manager,55,Female,High School,10,71728,106558,34830,48.55844300691501
Consultant,58,Female,Bachelor,31,143176,249241,106065,74.08015309828463
Software Engineer,54,Female,PhD,8,187780,498688,310908,165.570348279902
Data Engineer,41,Female,Bachelor,6,127163,262086,134923,106.10240400116386
Data Engineer,60,Female,Master,22,186312,423193,236881,127.14210571514448
Consultant,49,Other,Master,18,147091,294804,147713,100.42286747659612
Product Manager,47,Male,PhD,18,192611,446654,254043,131.894336252862
Data Engineer,54,Female,PhD,3,168178,421325,253147,150.52325512254873
Data Scientist,27,Other,High School,2,96406,181733,85327,88.50797668194926
Product Manager,55,Male,Bachelor,25,149149,271545,122396,82.06290353941361
Product Manager,43,Other,High School,3,91666,156950,65284,71.21942705037854
Product Manager,64,Female,PhD,0,140682,313311,172629,122.7086620889666
Project Manager,39,Other,PhD,16,141594,272096,130502,92.16633473169767
DevOps Engineer,31,Male,PhD,0,136027,335569,199542,146.692935961243
Designer,56,Male,PhD,16,141995,234174,92179,64.91707454487835
DevOps Engineer,63,Other,Bachelor,37,150874,287225,136351,90.37408698649205
Software Engineer,52,Male,Bachelor,17,137998,287075,149077,108.0283772228583
Data Scientist,32,Male,High School,1,93342,166374,73032,78.2413061644276
Data Engineer,42,Male,PhD,19,225225,590848,365623,162.33677433677434
Software Engineer,47,Male,Bachelor,4,121874,263116,141242,115.89182270213499
Software Engineer,62,Male,Master,4,139996,335088,195092,139.35541015457585
Data Scientist,65,Male,Bachelor,13,122014,232283,110269,90.37405543626141
Project Manager,25,Female,Bachelor,3,90296,154238,63942,70.81376805174095
Consultant,27,Other,Bachelor,1,102525,194268,91743,89.4835405998537
Product Manager,50,Male,Bachelor,20,135911,255123,119212,87.71328295722937
Project Manager,42,Female,PhD,3,114680,220377,105697,92.1668991977677
Designer,61,Female,Bachelor,10,106114,154079,47965,45.20138718736453
Data Engineer,39,Male,PhD,16,221335,580643,359308,162.33672939209796
Data Scientist,54,Male,Master,0,136843,294887,158044,115.49293716156473
DevOps Engineer,36,Male,PhD,14,207175,511087,303912,146.69337516592253
Consultant,43,Female,High School,3,90506,148834,58328,64.4465560294345
Data Engineer,64,Other,High School,0,94662,170426,75764,80.03633981956857
Consultant,30,Other,High School,7,92679,152408,59729,64.4471778935897
Designer,58,Female,Master,19,136393,213033,76640,56.19056696458029
Consultant,36,Male,High School,11,97480,160303,62823,64.44706606483382
DevOps Engineer,53,Other,PhD,10,181028,427675,246647,136.24798373732241
Data Scientist,57,Other,Master,4,123914,267026,143112,115.49300321190503
Software Engineer,51,Female,Bachelor,2,112459,233946,121487,108.02781458131408
Product Manager,49,Male,Master,11,145249,307822,162573,111.92710448953176
Project Manager,40,Other,High School,15,83760,126998,43238,51.62129894937918
Business Analyst,51,Other,PhD,17,125745,220377,94632,75.25706787546224
Data Engineer,24,Other,PhD,0,164912,474087,309175,187.4787765596197
Designer,59,Other,Bachelor,10,93043,135100,42057,45.2016809432198
DevOps Engineer,48,Female,Bachelor,17,139824,275054,135230,96.71444101155738
DevOps Engineer,42,Other,Master,7,140417,314566,174149,124.02273229024976
Consultant,46,Other,PhD,16,184648,402347,217699,117.89946276157879
Data Engineer,29,Male,High School,5,118102,232596,114494,96.94501363228396
Data Scientist,59,Other,Master,19,171691,369982,198291,115.49294954307447
Product Manager,41,Other,High School,10,103903,177902,73999,71.21931031827764
Data Scientist,57,Male,Master,17,167062,360006,192944,115.49245190408351
Data Engineer,36,Female,Master,14,183117,433504,250387,136.73607584222108
Project Manager,34,Male,Bachelor,6,81308,132442,51134,62.88926058936391
DevOps Engineer,34,Other,Master,5,143431,321318,177887,124.02270081084284
Designer,52,Other,Bachelor,3,87840,127545,39705,45.20150273224044
Project Manager,31,Female,Master,0,99445,178090,78645,79.08391573231435
Business Analyst,40,Female,Master,14,124877,211294,86417,69.20169446735588
Designer,63,Other,High School,29,96565,132702,36137,37.422461554393415
Consultant,62,Male,Master,29,145844,282635,136791,93.79268259235896
Consultant,63,Male,Master,36,173666,336553,162887,93.79325832344846
Data Engineer,32,Male,Bachelor,5,118738,244722,125984,106.1025114116795
Designer,45,Female,High School,10,90343,126211,35868,39.70202450660261
Data Engineer,53,Female,Bachelor,15,135674,270025,134351,99.02486843463006
Designer,46,Other,High School,1,70782,98884,28102,39.70218417111695
Product Manager,43,Other,High School,15,117021,200362,83341,71.21884106271524
Product Manager,22,Male,Bachelor,0,106184,211826,105642,99.48956528290515
DevOps Engineer,27,Male,Master,0,149256,361200,211944,142.00032159511176
DevOps Engineer,62,Other,High School,27,131340,227611,96271,73.29907111314147
DevOps Engineer,40,Other,PhD,0,145619,359232,213613,146.69308263344755
Designer,24,Female,PhD,2,126270,224853,98583,78.07317652649085
Consultant,34,Other,High School,11,92627,152322,59695,64.44665162425642
Business Analyst,45,Female,PhD,0,101495,183052,81557,80.35568254593822
DevOps Engineer,37,Female,Master,12,169350,379383,210033,124.02302922940656
DevOps Engineer,42,Other,High School,12,110281,196566,86285,78.24103880088138
Data Engineer,61,Other,PhD,24,215634,540213,324579,150.5231086006845
Designer,65,Other,PhD,1,113552,187267,73715,64.91739467380583
Data Engineer,57,Other,High School,32,125888,226645,100757,80.03701703101169
DevOps Engineer,48,Female,Master,24,206605,462842,256237,124.02265192033106
Product Manager,46,Female,Bachelor,16,144091,270478,126387,87.71332005468766
Designer,37,Male,PhD,0,103974,175926,71952,69.20191586358128
Project Manager,23,Male,Master,1,107958,204562,96604,89.4829470720095
Consultant,62,Other,PhD,35,162629,341313,178684,109.87216302135536
Data Engineer,64,Female,Bachelor,23,146885,292338,145453,99.02508765360656
Data Scientist,44,Female,Bachelor,14,139265,273955,134690,96.71489606146555
Software Engineer,38,Female,Bachelor,14,157070,339102,182032,115.89227732857961
Business Analyst,55,Female,Bachelor,15,85574,130060,44486,51.98541613106785
Business Analyst,28,Other,High School,1,65581,99030,33449,51.00410179777679
DevOps Engineer,38,Other,Master,1,136711,306264,169553,124.02293890030795
Data Engineer,43,Other,PhD,21,226118,593190,367072,162.3364791834352
Data Scientist,22,Female,Master,0,141893,343382,201489,142.0006624710169
Consultant,24,Male,PhD,0,132844,311902,179058,134.78817259341784
Data Engineer,51,Female,High School,11,117532,211601,94069,80.03692611373924
Project Manager,36,Male,Bachelor,10,95870,156162,60292,62.88932930009388
DevOps Engineer,30,Other,Bachelor,1,111198,218743,107545,96.71486897246353
DevOps Engineer,54,Other,Bachelor,31,150262,286060,135798,90.37414649079608
Designer,44,Female,PhD,4,134068,226846,92778,69.20219590058775
Consultant,33,Female,PhD,5,140365,305855,165490,117.89976133651552
DevOps Engineer,48,Male,High School,21,140803,250969,110166,78.24123065559682
Product Manager,34,Male,PhD,9,178406,413714,235308,131.89466721971235
Data Scientist,44,Female,Bachelor,10,126490,248824,122334,96.71436477191872
DevOps Engineer,46,Female,Master,10,159557,357444,197887,124.02276302512583
Consultant,59,Male,Master,5,121798,236036,114238,93.79300152711866
Business Analyst,44,Male,Master,7,101107,171075,69968,69.20193458415342
Data Engineer,53,Other,High School,5,110771,199429,88658,80.037193850376
Product Manager,60,Female,High School,17,116521,194345,77824,66.78967739720737
Data Scientist,40,Male,Bachelor,1,105582,207695,102113,96.71440207611145
Data Engineer,49,Female,High School,1,111436,206738,95302,85.52173444847267
Data Engineer,57,Female,Bachelor,2,114394,227673,113279,99.02529852964315
Business Analyst,39,Other,Bachelor,13,96171,149350,53179,55.29629514094686
Consultant,38,Other,Bachelor,11,117838,211029,93191,79.08399667339907
DevOps Engineer,45,Male,PhD,9,161032,397255,236223,146.69320383526255
Business Analyst,49,Other,Bachelor,17,108583,168626,60043,55.29686967573193
Data Scientist,22,Other,High School,0,109599,206603,97004,88.50810682579221
DevOps Engineer,49,Male,Bachelor,15,155879,306637,150758,96.7147595250162
Data Engineer,27,Female,PhD,2,181805,522651,340846,187.47889221968592
Designer,33,Male,High School,8,86283,120539,34256,39.70191115283428
Data Engineer,65,Female,High School,31,143580,258497,114917,80.0369132191113
Software Engineer,33,Male,Bachelor,11,151812,327750,175938,115.89202434590152
Data Scientist,29,Male,PhD,3,156921,421866,264945,168.83973464354676
DevOps Engineer,36,Female,Master,3,154103,345226,191123,124.02289377883623
Designer,30,Male,PhD,2,121547,205660,84113,69.20203707207911
Product Manager,23,Male,Master,0,149861,341339,191478,127.77040057119598
Product Manager,35,Other,Bachelor,13,137026,257216,120190,87.71328069125568
Project Manager,38,Female,PhD,16,156958,301621,144663,92.16669427490156
Software Engineer,46,Male,Bachelor,1,120474,260094,139620,115.89222570845162
Business Analyst,54,Other,High School,16,85170,121702,36532,42.89303745450276
Designer,59,Male,Master,36,136773,213626,76853,56.19018373509391
Data Scientist,48,Other,Bachelor,25,150388,295835,145447,96.71449849722052
Business Analyst,60,Other,High School,22,81441,116373,34932,42.892400633587506
Data Scientist,41,Other,Master,14,159745,357865,198120,124.02266111615387
Business Analyst,41,Other,Master,10,113542,192115,78573,69.20170509591165
Product Manager,44,Female,PhD,6,153193,355246,202053,131.894407707924
Product Manager,52,Female,Master,21,166313,339917,173604,104.38390264140507
DevOps Engineer,55,Other,Master,22,192210,414199,221989,115.49295041881275
Project Manager,39,Other,Master,17,133328,238770,105442,79.08466338653545
Designer,56,Male,High School,28,106697,146626,39929,37.422795392560246
Business Analyst,53,Other,High School,26,86867,124127,37260,42.893158506682624
Data Scientist,26,Other,PhD,2,180844,486181,305337,168.83999469155737
Business Analyst,38,Female,Master,9,108494,183574,75080,69.20198351982599
Project Manager,24,Female,Master,2,102234,193716,91482,89.4829508773989
Data Engineer,56,Female,Bachelor,16,140744,280116,139372,99.02518046950492
Designer,55,Other,Master,23,135831,212155,76324,56.190413086850576
Data Scientist,48,Female,High School,4,107721,192003,84282,78.24101150193556
DevOps Engineer,44,Female,Bachelor,11,126882,249596,122714,96.71505808546523
Software Engineer,36,Other,Master,13,166155,415545,249390,150.0947910083958
Product Manager,28,Other,Master,3,151136,344243,193107,127.77035253017151
Project Manager,36,Other,PhD,0,115657,222254,106597,92.16649230050926
Data Engineer,35,Female,Master,6,170631,403945,233314,136.73599756199047
DevOps Engineer,60,Other,Master,34,190303,410089,219786,115.49266170265314
Business Analyst,65,Female,Bachelor,31,107639,163595,55956,51.984875370451235
Data Engineer,27,Other,High School,1,119268,234892,115624,96.94469597880403
Consultant,35,Other,High School,2,80937,133098,52161,64.44642129063347
DevOps Engineer,55,Female,PhD,15,179381,423784,244403,136.24798613008068
Data Scientist,28,Female,Bachelor,4,143688,301701,158013,109.96951728745617
Software Engineer,54,Other,High School,20,124491,232810,108319,87.00950269497395
Project Manager,36,Other,Bachelor,6,90277,147051,56774,62.88866488695902
Designer,60,Male,PhD,11,142724,235376,92652,64.91690255317957
Product Manager,31,Male,Bachelor,3,118322,222106,103784,87.71318943222731
Data Engineer,28,Male,High School,3,114248,225005,110757,96.94436664099153
Designer,57,Other,PhD,26,149198,246053,96855,64.91709004142146
Software Engineer,53,Female,High School,19,131829,246533,114704,87.00968679122197
Software Engineer,57,Female,PhD,4,175008,464769,289761,165.57014536478331
Project Manager,33,Other,Bachelor,8,98974,161218,62244,62.889243639743775
Software Engineer,39,Female,Bachelor,7,145609,314358,168749,115.89187481543037
Consultant,28,Male,Bachelor,5,108404,205408,97004,89.48378288624036
Product Manager,54,Other,Bachelor,0,108013,196652,88639,82.06327016192495
Consultant,62,Female,PhD,7,130092,273027,142935,109.87224425790978
Consultant,55,Male,PhD,32,160892,337667,176775,109.8718394948164
Project Manager,65,Female,Master,9,116627,203024,86397,74.07975854647722
Consultant,55,Female,High School,19,98151,157533,59382,60.500657150716755
Consultant,50,Male,Master,19,152686,306018,153332,100.42309052565395
Data Engineer,22,Male,PhD,0,169330,486788,317458,187.4788873796728
Consultant,31,Male,Bachelor,3,106346,190449,84103,79.08430970605383
Consultant,49,Female,PhD,4,154291,336199,181908,117.89929419084717
Data Engineer,49,Other,High School,18,127637,236794,109157,85.52143970792169
Data Scientist,61,Other,High School,8,97499,168965,71466,73.29921332526487
Data Scientist,52,Male,PhD,27,196471,464159,267688,136.2480976836276
DevOps Engineer,56,Female,Master,19,184651,397910,213259,115.49301113993427
DevOps Engineer,45,Other,Bachelor,10,128321,252426,124105,96.7144894444401
Consultant,63,Male,Master,29,149942,290577,140635,93.79293326753012
Data Engineer,50,Male,Master,5,166806,394890,228084,136.7360886299054
DevOps Engineer,55,Female,PhD,6,155509,367387,211878,136.24806281308477
DevOps Engineer,37,Other,PhD,14,185753,458240,272487,146.693189342837
Business Analyst,58,Other,High School,32,91909,131331,39422,42.892426204180225
Designer,42,Female,High School,4,84843,118528,33685,39.70274507030633
Designer,61,Female,Master,5,118111,184478,66367,56.190363302317316
Product Manager,42,Male,Master,5,125745,266488,140743,111.92731321324905
Designer,41,Other,Master,14,127391,203587,76196,59.81270262420422
Project Manager,29,Other,Master,4,121610,230431,108821,89.48359509908724
Business Analyst,58,Female,High School,19,77396,110593,33197,42.892397539924545
Data Scientist,46,Female,Bachelor,23,173717,341727,168010,96.71477172642862
Data Scientist,58,Other,Bachelor,6,118112,224855,106743,90.37439040910323
Software Engineer,28,Other,Master,5,170776,466022,295246,172.88494870473602
Data Scientist,40,Other,Master,17,172384,386179,213795,124.02253109337293
Designer,47,Other,Bachelor,5,92780,137337,44557,48.024358697995254
Designer,49,Female,Master,2,104003,166210,62207,59.81269771064296
Consultant,45,Female,Bachelor,20,123523,221210,97687,79.08405722011285
DevOps Engineer,50,Male,Master,15,157981,353913,195932,124.02250903589672
DevOps Engineer,52,Male,Bachelor,17,141895,270131,128236,90.37386800098665
Data Scientist,49,Male,High School,11,104903,186981,82078,78.24180433352717
Business Analyst,58,Female,High School,20,93024,132925,39901,42.89323185414517
Software Engineer,38,Female,High School,11,114657,221367,106710,93.06889243569952
Business Analyst,24,Other,Master,1,93557,166600,73043,78.07326015156536
DevOps Engineer,24,Female,Bachelor,2,116309,244213,127904,109.96913394492258
Software Engineer,51,Other,Bachelor,1,108613,225945,117332,108.02758417500668
Product Manager,60,Female,Master,10,149539,305633,156094,104.38347187021446
Data Scientist,53,Other,High School,7,103522,179403,75881,73.29939529761789
Software Engineer,37,Male,Master,2,139832,349713,209881,150.09511413696436
Designer,31,Other,Master,0,96958,154951,57993,59.81249613234596
Consultant,28,Female,Bachelor,1,113942,215901,101959,89.48324586192975
Data Engineer,24,Male,Master,0,165932,426488,260556,157.02576959236313
Designer,60,Female,Bachelor,1,87922,127664,39742,45.201428538932234
Product Manager,29,Male,Master,1,150133,341959,191826,127.77070997049282
Data Scientist,36,Male,Master,3,139894,313394,173500,124.02247415900611
Data Scientist,24,Male,Master,2,137864,333632,195768,142.0008123948239
Designer,37,Other,PhD,15,151762,256784,105022,69.20177646578195
DevOps Engineer,63,Male,Master,1,121454,261724,140270,115.49228514499316
Business Analyst,63,Male,High School,8,68561,97969,29408,42.893190005980074
Project Manager,41,Female,High School,19,95752,145180,49428,51.62085387250397
DevOps Engineer,61,Other,Master,39,189239,407796,218557,115.49257816834798
Data Scientist,39,Female,Bachelor,17,161869,318420,156551,96.71462726031544
Product Manager,58,Other,PhD,19,168617,375525,206908,122.70886090963545
Software Engineer,34,Male,Bachelor,0,118379,255571,137192,115.89217682190254
Data Engineer,32,Female,Bachelor,5,123414,254360,130946,106.10303531203915
Product Manager,65,Female,Master,11,149130,304798,155668,104.38409441426944
Software Engineer,46,Other,Bachelor,17,164289,354687,190398,115.89211694026989
Data Engineer,50,Other,Bachelor,9,122526,252529,130003,106.10237827073436
Product Manager,29,Female,Master,5,164971,375756,210785,127.7709415594256
Designer,61,Male,High School,10,78571,107974,29403,37.42220412111339
DevOps Engineer,37,Male,Master,7,141470,316925,175455,124.02276100940128
Designer,58,Other,Bachelor,0,76646,111291,34645,45.20131513712392
Consultant,42,Female,Master,2,125632,251795,126163,100.42266301579215
Software Engineer,30,Male,Bachelor,3,132219,285450,153231,115.89181585097452
Software Engineer,31,Other,Bachelor,6,140331,302964,162633,115.89242576479894
Product Manager,38,Other,PhD,12,172014,398891,226877,131.8944969595498
Product Manager,38,Other,PhD,4,155094,359654,204560,131.89420609436857
Product Manager,42,Female,High School,9,99681,170673,70992,71.21918921359136
Data Engineer,23,Male,PhD,0,187608,539333,351725,187.47867894759284
Data Scientist,22,Female,High School,0,98692,186042,87350,88.50768046042232
Software Engineer,25,Female,Master,2,179307,489302,309995,172.88505189423725
Data Scientist,43,Male,Bachelor,15,131316,258318,127002,96.7147948460203
Data Scientist,43,Other,PhD,5,166453,410628,244175,146.69306050356556
Data Scientist,38,Male,Master,2,140642,315070,174428,124.02269592298177
Data Scientist,40,Male,Master,11,169208,379065,209857,124.02309583471232
Data Scientist,42,Other,High School,15,133262,237528,104266,78.24135912713301
Data Scientist,61,Other,High School,23,118647,205614,86967,73.29894561177274
Consultant,55,Other,Bachelor,31,132348,230391,98043,74.07969897542841
Consultant,24,Female,High School,0,83541,144194,60653,72.60267413605295
Project Manager,63,Other,High School,34,89835,133458,43623,48.55902487894473
Consultant,40,Female,PhD,15,168255,366627,198372,117.89961665329412
Project Manager,49,Female,High School,3,68189,103389,35200,51.621229230521045
Data Scientist,29,Other,PhD,0,157387,423119,265732,168.83986606263542
Designer,30,Female,Bachelor,4,89494,132472,42978,48.02333117303954
Business Analyst,38,Female,Master,13,126912,214737,87825,69.20149394856278
DevOps Engineer,53,Other,Bachelor,29,164810,313756,148946,90.37437048722772
Project Manager,39,Male,PhD,11,122454,235316,112862,92.16685449229914
Project Manager,37,Female,PhD,15,143568,275890,132322,92.16677811211412
Designer,45,Male,Master,22,133945,214061,80116,59.81260965321587
Software Engineer,29,Female,Master,1,179192,488988,309796,172.884950220992
Consultant,31,Male,PhD,2,126177,274939,148762,117.8994586969099
Consultant,61,Other,PhD,6,134325,281911,147586,109.87232458589243
Designer,36,Other,Master,5,118451,189300,70849,59.81291842196351
Consultant,23,Other,Master,0,127661,273575,145914,114.29802367206901
Product Manager,24,Other,Bachelor,0,124135,247637,123502,99.49007129334998
Designer,54,Female,Bachelor,8,91750,133223,41473,45.202179836512265
DevOps Engineer,54,Female,PhD,8,153186,361899,208713,136.24809055657826
Designer,37,Female,PhD,7,144689,244817,100128,69.20221993378902
DevOps Engineer,59,Other,Master,32,186918,402795,215877,115.4928899303438
Data Engineer,38,Male,Bachelor,13,135705,279692,143987,106.10294388563429
Business Analyst,36,Female,Bachelor,11,92971,144381,51410,55.29681298469416
Consultant,45,Female,Bachelor,23,140683,251941,111258,79.08418216842121
Product Manager,26,Female,High School,2,105000,189418,84418,80.39809523809524
Software Engineer,35,Female,High School,11,131997,254845,122848,93.06878186625454
Data Scientist,28,Female,Bachelor,6,146304,307194,160890,109.96965223097112
Software Engineer,48,Female,Master,20,222362,556116,333754,150.0948903139925
Consultant,38,Male,PhD,16,174140,379450,205310,117.89939129436087
DevOps Engineer,36,Other,High School,0,101954,181724,79770,78.24116758538165
Consultant,53,Male,High School,21,118418,190061,71643,60.500092891283415
Designer,26,Male,Bachelor,4,95061,146220,51159,53.817022753810704
Product Manager,39,Other,High School,5,95860,164131,68271,71.21948675151262
Product Manager,47,Other,PhD,20,184715,428344,243629,131.89454023766342
Project Manager,41,Other,Bachelor,16,109920,179048,69128,62.88937409024745
Product Manager,25,Other,Bachelor,3,124928,249219,124291,99.4901063012295
Consultant,30,Other,Master,1,125692,251915,126223,100.42246125449512
Project Manager,54,Male,PhD,0,94574,176075,81501,86.17696195571722
Data Engineer,35,Female,Bachelor,9,126147,259992,133845,106.10240433779639
Project Manager,36,Female,High School,7,74881,113535,38654,51.62057130647294
Data Scientist,36,Male,High School,13,120522,214820,94298,78.24131693798643
Designer,28,Other,PhD,2,143015,254672,111657,78.07362864035241
Software Engineer,47,Male,High School,8,120565,232773,112208,93.06846929042425
Software Engineer,25,Female,PhD,3,204833,629396,424563,207.27275390195916
DevOps Engineer,56,Female,Bachelor,24,157589,300009,142420,90.37432815742216
Data Scientist,33,Female,Bachelor,8,119084,234256,115172,96.71492391925027
Business Analyst,34,Other,Master,2,85088,143970,58882,69.20129748025573
Project Manager,46,Male,Master,12,107566,192634,85068,79.08446907015228
Data Engineer,59,Female,High School,13,112688,202880,90192,80.03691608689479
DevOps Engineer,34,Female,PhD,9,194186,479044,284858,146.69337645350333
Product Manager,60,Female,High School,10,103116,171986,68870,66.78885914891967
Business Analyst,58,Female,PhD,15,133826,234539,100713,75.25667658003677
Designer,58,Male,High School,22,89620,123158,33538,37.422450345904934
Data Engineer,31,Female,PhD,1,151994,398736,246742,162.33667118438885
Product Manager,35,Other,Master,12,151907,321932,170025,111.92703430388329
Data Scientist,40,Male,PhD,15,176112,434456,258344,146.6930135368402
Product Manager,59,Male,Master,17,151970,310602,158632,104.38375995262223
Consultant,59,Female,Bachelor,3,89402,155631,66229,74.07999821033087
Data Scientist,56,Other,Bachelor,22,157861,300526,142665,90.37380987070904
Data Scientist,53,Male,Master,20,175776,378785,203009,115.493013835791
Consultant,46,Male,Master,19,163005,326699,163694,100.42268642066195
Software Engineer,22,Male,Master,0,170344,464843,294499,172.88486826656649
Product Manager,24,Other,Bachelor,1,120790,240964,120174,99.49002400860999
Data Engineer,32,Male,Bachelor,4,120500,248354,127854,106.10290456431535
Data Scientist,61,Other,Master,27,166388,358554,192166,115.49270380075487
Consultant,59,Male,Bachelor,19,126234,219748,93514,74.07988339116245
Business Analyst,45,Other,Bachelor,7,90370,140341,49971,55.296005311497176
Consultant,27,Female,PhD,4,152838,358846,206008,134.78846883628418
Project Manager,42,Other,Master,0,90121,161392,71271,79.08367639063037
Data Scientist,36,Other,Master,8,163476,366224,202748,124.0230981917835
DevOps Engineer,26,Other,PhD,0,175786,472583,296797,168.83995312482222
Project Manager,49,Female,Bachelor,15,101987,166126,64139,62.88938786315903
Data Scientist,60,Male,Master,20,163815,353009,189194,115.49247626896192
Project Manager,32,Male,High School,0,66807,101293,34486,51.62033918601344
Software Engineer,36,Female,Master,8,175767,439585,263818,150.09529661426774
Business Analyst,29,Female,PhD,5,120803,230679,109876,90.95469483373758
DevOps Engineer,49,Male,Bachelor,17,152368,299730,147362,96.714533235325
Software Engineer,28,Female,High School,5,119938,246736,126798,105.71962180459904
Project Manager,26,Male,PhD,4,123949,253686,129737,104.66966252248908
Consultant,30,Female,Master,3,126725,253986,127261,100.42296310909448
Data Engineer,37,Female,PhD,11,204014,535203,331189,162.3364082857059
Project Manager,60,Female,Bachelor,30,121747,193641,71894,59.05196842632673
Product Manager,56,Male,High School,20,120026,200191,80165,66.7896955659607
Project Manager,56,Female,Master,12,116035,201994,85959,74.08023441203085
Software Engineer,56,Female,High School,18,127321,238102,110781,87.00921293423708
Designer,64,Other,PhD,19,142089,234329,92240,64.91705902638488
Business Analyst,57,Male,Bachelor,21,92650,140814,48164,51.98488936859147
Data Engineer,57,Other,High School,33,129379,232930,103551,80.03694571762033
Data Scientist,23,Other,Bachelor,1,127250,267186,139936,109.96935166994106
Software Engineer,33,Female,Bachelor,0,111736,241229,129493,115.89192382043387
Product Manager,53,Male,Master,12,147584,301638,154054,104.38394405897657
DevOps Engineer,62,Female,High School,16,119918,207817,87899,73.29925449056856
DevOps Engineer,56,Other,Bachelor,32,142602,271477,128875,90.3739077993296
DevOps Engineer,55,Other,High School,11,111688,193554,81866,73.29883246185803
Project Manager,61,Other,Master,12,112446,195746,83300,74.08000284581043
Designer,43,Other,PhD,14,138244,233911,95667,69.20155666792049
Data Scientist,23,Female,High School,1,103611,195315,91704,88.50797695225411
Project Manager,33,Other,PhD,3,117370,225546,108176,92.16665246655874
Software Engineer,43,Male,PhD,6,180106,502256,322150,178.8668894984065
DevOps Engineer,35,Female,PhD,13,190737,470535,279798,146.69309048585225
Designer,44,Female,PhD,18,175044,296178,121134,69.20202920408583
Data Engineer,53,Female,Master,28,184798,419754,234956,127.14206863710646
Data Engineer,33,Male,Bachelor,6,140584,289748,149164,106.10311272975588
Consultant,65,Female,Bachelor,5,92250,160589,68339,74.08021680216802
Consultant,56,Male,PhD,7,146176,306783,160607,109.87234566549913
Designer,64,Other,Master,15,121776,190203,68427,56.190875049270794
Business Analyst,49,Male,Bachelor,23,110248,171211,60963,55.29624120165445
Project Manager,54,Other,Master,21,125394,218286,92892,74.08009952629313
DevOps Engineer,51,Female,Master,23,163649,352652,189003,115.4929147138082
Data Scientist,34,Other,High School,5,111277,198342,87065,78.24168516405008
Product Manager,26,Female,High School,4,117554,212065,94511,80.39794477431649
DevOps Engineer,27,Male,Master,3,145014,350935,205921,142.0007723392224
Consultant,53,Other,Bachelor,10,99954,174000,74046,74.08007683534426
Consultant,46,Male,Master,16,143369,287344,143975,100.42268551778977
Consultant,44,Male,Master,14,145610,291836,146226,100.4230478675915
Project Manager,47,Male,Bachelor,1,75559,123077,47518,62.8886036077767
Project Manager,46,Male,Master,23,134921,241622,106701,79.08405659608215
Project Manager,24,Male,Bachelor,0,85743,146461,60718,70.81394399542819
Product Manager,25,Female,Master,2,158476,360962,202486,127.77076655140212
Software Engineer,34,Male,Master,10,160177,400595,240418,150.0952071770604
Data Scientist,54,Male,PhD,1,148217,350159,201942,136.24752896091542
DevOps Engineer,42,Male,High School,19,140336,250137,109801,78.24150609964656
Data Scientist,47,Other,Master,14,152371,341346,188975,124.02294399852991
Software Engineer,44,Female,High School,8,118301,228402,110101,93.06852858386657
Product Manager,36,Other,Bachelor,5,120106,225455,105349,87.7133532046692
Data Engineer,60,Other,High School,8,100890,181639,80749,80.03667360491625
Consultant,45,Female,PhD,23,169589,369534,199945,117.89974585615812
Data Engineer,46,Male,Master,19,199524,472345,272821,136.7359315170105
